Candidate_ID,Age,Gender,Nationality,Education_Level,University_Ranking,Field_of_Study,Years_of_Experience,Technical_Skills_Score,Communication_Score,Interview_Score,Assessment_Test_Score,Internship_Experience,Previous_Company_Tier,Expected_Salary,Willing_to_Relocate,Visa_Status,English_Proficiency,Leadership_Experience,Certifications_Count,Application_Source,Referral_Status,HR_Rating,Manager_Rating,Final_Hiring_Decision
TLB0001,28,Female,British,Bachelor's,292,Logistics,4,65.7,66.0,71.4,64.2,Yes,Tier 1,19100,Yes,Work Visa,Fluent,No,2,Referral,Referred,2.6,2.8,Hired
TLB0002,31,Male,Filipino,Bachelor's,201,Business,0,53.1,60.8,74.9,60.1,Yes,Startup,8300,Yes,UAE Resident,Intermediate,No,3,LinkedIn,Not Referred,3.5,4.0,Hired
TLB0003,25,Female,Indian,Bachelor's,414,Engineering,0,81.0,63.1,66.9,49.9,Yes,None,12400,Yes,UAE Resident,Intermediate,No,2,Referral,Referred,3.3,2.7,Hired
TLB0004,32,Female,Egyptian,Bachelor's,215,Computer Science,2,52.2,74.6,64.2,72.0,Yes,Tier 2,14000,Yes,Citizen,Intermediate,Yes,0,Job Portal,Not Referred,3.0,3.1,Rejected
TLB0005,33,Male,Emirati,High School,234,Computer Science,0,38.5,51.0,40.2,61.4,Yes,None,15200,No,UAE Resident,Intermediate,No,0,Referral,Referred,3.6,4.1,Rejected
TLB0006,33,Female,British,Bachelor's,513,Finance,2,48.2,69.0,68.1,89.1,Yes,Startup,16700,Yes,UAE Resident,Fluent,No,4,LinkedIn,Not Referred,1.9,4.2,Rejected
TLB0007,29,Female,Filipino,Master's,494,Computer Science,11,86.7,79.5,74.7,66.2,Yes,None,10000,Yes,UAE Resident,Fluent,No,2,Referral,Referred,2.8,3.8,Hired
TLB0008,36,Female,Indian,Master's,240,Marketing,4,83.8,67.0,66.2,29.3,Yes,Tier 3,14900,Yes,Citizen,Basic,No,4,Walk-in,Not Referred,2.6,1.6,Hired
TLB0009,28,Male,Emirati,Master's,474,Finance,7,34.9,80.7,56.8,39.6,Yes,Tier 1,7800,No,Visit Visa,Intermediate,No,5,Referral,Referred,2.7,2.1,Rejected
TLB0010,27,Male,Egyptian,Master's,44,Computer Science,8,77.2,84.1,45.2,94.3,Yes,Tier 1,11700,Yes,UAE Resident,Intermediate,Yes,4,Referral,Referred,3.1,3.7,Rejected
